FQDN,class_0_1,max_label_legnth,avg_label_legnth,labels_num,digits_num,total_characters,upperclass_letters_num,entropy
cdn.auctions.com.au,0,8,3.2,5,0,20,16,3.202819531114783
www.chodezilla.com,0,10,4.0,4,0,19,16,3.327819531114783
iloveoldschoolmusic.com,0,19,7.333333333333333,3,0,24,22,3.226730915057127
dogpile.com,0,7,3.3333333333333335,3,0,12,10,3.1219280948873624
www.aabakken.org,0,8,3.5,4,0,17,14,2.9852281360342516
traffic-manager.p4d.cloud.slb-ds.com,0,15,5.333333333333333,6,1,37,29,4.031401845392171
www.logi.com,0,4,2.5,4,0,13,10,2.6464393446710157
ghs-svc-https-c776.ghs-ssl.googlehosted.com,0,18,8.0,5,3,44,33,3.526556683144252
rd.rtb-cdn.net,0,7,3.0,4,0,15,11,2.7321588913645702
mail.truenorthfm.com,0,11,4.5,4,0,21,18,3.5724312513221195
www.whatiscyberliability.com.ghs.googlehosted.com,0,20,6.285714285714286,7,0,50,44,3.8936622325104544
cdn.motocard.com,0,8,3.5,4,0,17,14,2.8423709931771093
www.stowersllc.com,0,10,4.0,4,0,19,16,3.0
mail.citycompost.com,0,11,4.5,4,0,21,18,3.155221528859512
mail.5bucks.vc,0,6,3.0,4,1,15,11,3.418295834054489
www.wildinside.net.ghs.googlehosted.com,0,12,4.857142857142857,7,0,40,34,3.5868878409958143
ghs-svc-https-c300.ghs-ssl.googlehosted.com,0,18,8.0,5,3,44,33,3.526556683144252
mail.corneliainteriors.com,0,17,6.0,4,0,27,24,3.3553885422075336
hubimg.com,0,6,3.0,3,0,11,9,2.94770277922009
scientific-output.irri.org,0,17,6.0,4,0,27,23,3.344456935241198
mail.karenkisslinger.com,0,15,5.5,4,0,25,22,3.516027641266231
globalenerji.com.tr,0,12,4.25,4,0,20,17,3.6168746059562227
mail.ohanakeyfl.com,0,10,4.25,4,0,20,17,3.454822399946607
www.basicallyhealthy.com,0,16,5.5,4,0,25,22,3.538310595615006
www.ertiqagroup.com,0,11,4.25,4,0,20,17,3.572469458770136
www.northforkdexters.com,0,16,5.5,4,0,25,22,3.629219686524097
hellokev.googlepages.com,0,11,5.5,4,0,25,22,3.2998963911678905
ns2.recruitmentjob.in,0,14,4.75,4,1,22,18,3.5766176449086675
www.sbvelectro.com,0,10,4.0,4,0,19,16,3.327819531114783
www.printworldgurgaon.com,0,17,5.75,4,0,26,23,3.5883543471732335
status.scheduleonce.com,0,12,5.25,4,0,24,21,3.4273334938982654
mail.storkrubber.com,0,11,4.5,4,0,21,18,3.57243125132212
www.cyclearmory.com,0,11,4.25,4,0,20,17,3.057476076289932
webmail.solecareforsouls.org,0,16,6.5,4,0,29,26,3.5843031793467124
69-7-3-90.rev.cape.com,0,9,3.8,5,6,23,10,3.625
tsd-2077.cape.com,0,8,3.75,4,4,18,10,3.521640636343319
ssl.keelbeel.com,0,8,3.5,4,0,17,14,2.7534343861887853
host.coursepark.com,0,10,4.25,4,0,20,17,3.454822399946607
www2.indianstudyspot.in,0,15,5.25,4,1,24,20,3.427333493898265
ns.relaytxt.io,0,8,3.0,4,0,15,12,3.4182958340544896
www.stephenandnoirin.info,0,16,5.75,4,0,26,23,3.4314134569803287
mail.ucsbalum.com,0,8,3.75,4,0,18,15,3.0565647621309537
www.busymombargains.com,0,15,5.25,4,0,24,21,3.558518613048906
